model,seed,qubits,dataset_size,dataset_kind,input_mode,hidden_dim,time_embedding_dim,noise_steps,depth,epochs,batch_size,device,reconstruction_fidelity,reconstruction_pure_state_fidelity,reconstruction_mmd,reconstruction_wasserstein,success_probability_mean,success_probability_std,generation_mmd,generation_wasserstein,generation_nearest_fidelity_mean,generation_prior_mode,generation_sampling_mode,fidelity,pure_state_fidelity,mmd,wasserstein,forward_final_target_noisy_fidelity_mean,forward_final_target_noisy_fidelity_std,forward_process_type,depolarizing_mode,beta_end,alpha_bar_final,match_corruption_enabled,corruption_reference_process,target_corruption_fidelity,actual_forward_fidelity_mean,actual_forward_fidelity_std,corruption_match_error_abs,calibrated_beta_end,calibrated_alpha_bar_final,corruption_match_method,corruption_match_notes,trainable_parameters,estimated_circuit_depth,estimated_two_qubit_gate_count,estimated_single_qubit_rotation_count,effective_qubits,ancilla_qubits,post_selection_required,is_step_independent_model,step_parameterization,effective_denoiser_count,denoiser_depth_per_step,denoiser_two_qubit_gates_per_step,denoiser_single_qubit_rotations_per_step,total_reverse_depth,total_reverse_two_qubit_gate_count,total_reverse_single_qubit_rotation_count,forward_unitary_depth,forward_two_qubit_gate_count,channel_application_count,total_estimated_depth,total_estimated_two_qubit_gate_count,generation_call_count,resource_notes,runtime_sec,gpu_memory_mb,diffusion_steps,model_family
quddpm_baseline,0,6,512,mixed,density,96,32,10,2,400,128,cuda,0.240352600812912,0.2403525859117508,0.24622252583503723,0.6057173609733582,,,0.9167025089263916,0.8779232501983643,0.7646394968032837,depolarized_random,one_step,0.240352600812912,0.2403525859117508,0.24622252583503723,0.6057173609733582,0.01684984192252159,0.023913560435175896,random_unitary,none,0.15000000596046448,0.4292851686477661,True,random_unitary,0.016190268099308014,0.016190268099308014,0.024761848151683807,0.0,0.15000000596046448,0.4292851686477661,none,Random-unitary reference row; used as operational fairness reference.,801800,34,10,24,6,0,False,False,shared_time_conditioned,1,34,10,24,340,100,240,340,100,0,680,200,1,Random-unitary forward and reverse denoiser costs are both counted.,66.10025632288307,43.783203125,10,quddpm_baseline
quddpm_baseline,1,6,512,mixed,density,96,32,10,2,400,128,cuda,0.2225627601146698,0.2225627601146698,0.235187828540802,0.6173697113990784,,,0.8024789094924927,0.8279168605804443,0.7525314092636108,depolarized_random,one_step,0.2225627601146698,0.2225627601146698,0.235187828540802,0.6173697113990784,0.01670069247484207,0.03055042214691639,random_unitary,none,0.15000000596046448,0.4292851686477661,True,random_unitary,0.015406492166221142,0.015406492166221142,0.020260637626051903,0.0,0.15000000596046448,0.4292851686477661,none,Random-unitary reference row; used as operational fairness reference.,801800,34,10,24,6,0,False,False,shared_time_conditioned,1,34,10,24,340,100,240,340,100,0,680,200,1,Random-unitary forward and reverse denoiser costs are both counted.,66.18701788131148,45.619140625,10,quddpm_baseline
quddpm_baseline,2,6,512,mixed,density,96,32,10,2,400,128,cuda,0.1802094429731369,0.1802094429731369,0.2738518714904785,0.614674985408783,,,0.9359189867973328,0.8888323903083801,0.4722370207309723,depolarized_random,one_step,0.1802094429731369,0.1802094429731369,0.2738518714904785,0.614674985408783,0.017738893628120422,0.018247857689857483,random_unitary,none,0.15000000596046448,0.4292851686477661,True,random_unitary,0.01975696161389351,0.01975696161389351,0.032956283539533615,0.0,0.15000000596046448,0.4292851686477661,none,Random-unitary reference row; used as operational fairness reference.,801800,34,10,24,6,0,False,False,shared_time_conditioned,1,34,10,24,340,100,240,340,100,0,680,200,1,Random-unitary forward and reverse denoiser costs are both counted.,65.8948749024421,45.619140625,10,quddpm_baseline
msquddpm,0,6,512,mixed,density,96,32,10,2,400,128,cuda,0.21207065880298615,0.21207064390182495,0.7108029723167419,0.7873634696006775,,,0.6628202795982361,0.7761414647102356,0.852308988571167,depolarized_random,one_step,0.21207065880298615,0.21207064390182495,0.7108029723167419,0.7873634696006775,0.016190260648727417,1.9270165463325384e-09,depolarizing_single_beta,single_beta,0.9994257688522339,4.960488126926066e-07,True,random_unitary,0.016190268099308014,0.016190260648727417,1.9270165463325384e-09,7.450580596923828e-09,0.9994257688522339,4.960488126926066e-07,closed_form_single_beta,Operational fairness calibration matched final depolarizing fidelity to random-unitary reference.,801800,34,10,24,6,0,False,False,shared_time_conditioned,1,34,10,24,340,100,240,0,0,10,340,100,1,Depolarizing channels are counted separately from explicit unitary-depth heuristics.,52.13180525787175,51.6005859375,10,msquddpm
msquddpm,1,6,512,mixed,density,96,32,10,2,400,128,cuda,0.12249361723661423,0.12249361723661423,0.8728427886962891,0.8775544762611389,,,0.8563911318778992,0.8712348937988281,0.8713052272796631,depolarized_random,one_step,0.12249361723661423,0.12249361723661423,0.8728427886962891,0.8775544762611389,0.015625,1.6025616389470088e-09,depolarizing_single_beta,single_beta,1.0,0.0,True,random_unitary,0.015406492166221142,0.015625,1.6025616389470088e-09,0.00021850783377885818,1.0,0.0,closed_form_single_beta,Operational fairness calibration matched final depolarizing fidelity to random-unitary reference.,801800,34,10,24,6,0,False,False,shared_time_conditioned,1,34,10,24,340,100,240,0,0,10,340,100,1,Depolarizing channels are counted separately from explicit unitary-depth heuristics.,52.13808934018016,51.6005859375,10,msquddpm
msquddpm,2,6,512,mixed,density,96,32,10,2,400,128,cuda,0.19706150889396667,0.19706150889396667,0.7256571054458618,0.7994925379753113,,,0.705656886100769,0.7961995005607605,0.9160131812095642,depolarized_random,one_step,0.19706150889396667,0.19706150889396667,0.7256571054458618,0.7994925379753113,0.019756954163312912,2.769608320463135e-09,depolarizing_single_beta,single_beta,0.9958024621009827,3.848443611786934e-06,True,random_unitary,0.01975696161389351,0.019756954163312912,2.769608320463135e-09,7.450580596923828e-09,0.9958024621009827,3.848443611786934e-06,closed_form_single_beta,Operational fairness calibration matched final depolarizing fidelity to random-unitary reference.,801800,34,10,24,6,0,False,False,shared_time_conditioned,1,34,10,24,340,100,240,0,0,10,340,100,1,Depolarizing channels are counted separately from explicit unitary-depth heuristics.,49.73385509569198,51.6005859375,10,msquddpm
t_msquddpm,0,6,512,mixed,density,96,32,10,2,400,128,cuda,0.19339963793754578,0.19339963793754578,0.7479342818260193,0.8047654628753662,,,0.40434402227401733,0.7790069580078125,0.5144155025482178,depolarized_random,one_step,0.19339963793754578,0.19339963793754578,0.7479342818260193,0.8047654628753662,0.016190260648727417,1.9270165463325384e-09,depolarizing_single_beta,single_beta,0.9994257688522339,4.960488126926066e-07,True,random_unitary,0.016190268099308014,0.016190260648727417,1.9270165463325384e-09,7.450580596923828e-09,0.9994257688522339,4.960488126926066e-07,closed_form_single_beta,Operational fairness calibration matched final depolarizing fidelity to random-unitary reference.,801264,34,10,24,6,0,False,False,shared_time_conditioned,1,34,10,24,340,100,240,0,0,10,340,100,1,Depolarizing channels are counted separately from explicit unitary-depth heuristics.,50.929278439842165,51.5927734375,10,t_msquddpm
t_msquddpm,1,6,512,mixed,density,96,32,10,2,400,128,cuda,0.11454590409994125,0.11454590409994125,0.8899027109146118,0.8854212164878845,,,0.7786359190940857,0.8585889339447021,0.7016787528991699,depolarized_random,one_step,0.11454590409994125,0.11454590409994125,0.8899027109146118,0.8854212164878845,0.015625,1.6025616389470088e-09,depolarizing_single_beta,single_beta,1.0,0.0,True,random_unitary,0.015406492166221142,0.015625,1.6025616389470088e-09,0.00021850783377885818,1.0,0.0,closed_form_single_beta,Operational fairness calibration matched final depolarizing fidelity to random-unitary reference.,801264,34,10,24,6,0,False,False,shared_time_conditioned,1,34,10,24,340,100,240,0,0,10,340,100,1,Depolarizing channels are counted separately from explicit unitary-depth heuristics.,51.809788157232106,51.5927734375,10,t_msquddpm
t_msquddpm,2,6,512,mixed,density,96,32,10,2,400,128,cuda,0.18804821372032166,0.18804824352264404,0.703810453414917,0.8041465878486633,,,0.5476945638656616,0.791221022605896,0.719591498374939,depolarized_random,one_step,0.18804821372032166,0.18804824352264404,0.703810453414917,0.8041465878486633,0.019756954163312912,2.769608320463135e-09,depolarizing_single_beta,single_beta,0.9958024621009827,3.848443611786934e-06,True,random_unitary,0.01975696161389351,0.019756954163312912,2.769608320463135e-09,7.450580596923828e-09,0.9958024621009827,3.848443611786934e-06,closed_form_single_beta,Operational fairness calibration matched final depolarizing fidelity to random-unitary reference.,801264,34,10,24,6,0,False,False,shared_time_conditioned,1,34,10,24,340,100,240,0,0,10,340,100,1,Depolarizing channels are counted separately from explicit unitary-depth heuristics.,52.005551654845476,51.5927734375,10,t_msquddpm
cnr,0,6,512,mixed,density,96,32,10,2,400,128,cuda,,,,,,,0.0875200629234314,0.6545639038085938,0.49042126536369324,latent_gaussian,one_step,0.49042126536369324,,0.0875200629234314,0.6545639038085938,,,cnr_none,none,0.15000000596046448,0.4292851686477661,False,none,,,,,0.15000000596046448,0.4292851686477661,none,CNR is one-step generator comparator; no forward corruption.,12912,34,10,24,6,0,False,False,one_step_cnr,1,34,10,24,0,0,0,0,0,0,34,10,1,One-step classical-noise reuploading comparator heuristic.,52.35230315476656,19.73388671875,10,cnr
