step,beta,alpha,alpha_bar,expected_fidelity_single_beta,expected_fidelity_cumulative
0,0.01,0.99,0.99,0.99015623,0.99015623
1,0.025555555,0.97444445,0.96470004,0.97484374,0.9652516
2,0.04111111,0.9588889,0.9250401,0.95953125,0.92621136
3,0.05666667,0.9433333,0.8726212,0.94421875,0.8746115
4,0.072222225,0.92777777,0.8095985,0.92890626,0.81257355
5,0.08777778,0.9122222,0.73853374,0.9135937,0.74261916
6,0.10333334,0.89666665,0.6622186,0.8982812,0.6674964
7,0.11888889,0.8811111,0.58348817,0.8829687,0.58999616
8,0.13444445,0.8655555,0.50504136,0.86765623,0.51277506
9,0.15,0.85,0.4292852,0.8523438,0.43820262
