model,seed,fidelity_mean,reconstruction_fidelity_mean,generation_mmd_mean,generation_wasserstein_mean,generation_nearest_fidelity_mean,success_probability_mean,mmd_mean,wasserstein_mean,runtime_sec_mean,total_estimated_depth_mean
cnr,0,0.49042126536369324,,0.0875200629234314,0.6545639038085938,0.49042126536369324,,0.0875200629234314,0.6545639038085938,52.35230315476656,34.0
cnr,1,0.5541211366653442,,0.056686386466026306,0.599901556968689,0.5541211366653442,,0.056686386466026306,0.599901556968689,51.61890158895403,34.0
cnr,2,0.4309786856174469,,0.05498889088630676,0.6718239784240723,0.4309786856174469,,0.05498889088630676,0.6718239784240723,51.7421242101118,34.0
independent_step_quddpm,0,0.21398033201694489,0.21398033201694489,0.7063473463058472,0.7859104871749878,0.8940639495849609,,0.7060869336128235,0.7860478162765503,697.3449324695393,340.0
independent_step_quddpm,1,0.12281028181314468,0.12281028181314468,0.8729120492935181,0.8771324157714844,0.8854712843894958,,0.8726474046707153,0.8772084712982178,714.9020100561902,340.0
independent_step_quddpm,2,0.19830621778964996,0.19830621778964996,0.7291350960731506,0.8007152676582336,0.9327731132507324,,0.7294751405715942,0.801637589931488,711.2976066293195,340.0
msquddpm,0,0.21207065880298615,0.21207065880298615,0.6628202795982361,0.7761414647102356,0.852308988571167,,0.7108029723167419,0.7873634696006775,52.13180525787175,340.0
msquddpm,1,0.12249361723661423,0.12249361723661423,0.8563911318778992,0.8712348937988281,0.8713052272796631,,0.8728427886962891,0.8775544762611389,52.13808934018016,340.0
msquddpm,2,0.19706150889396667,0.19706150889396667,0.705656886100769,0.7961995005607605,0.9160131812095642,,0.7256571054458618,0.7994925379753113,49.73385509569198,340.0
quddpm_baseline,0,0.240352600812912,0.240352600812912,0.9167025089263916,0.8779232501983643,0.7646394968032837,,0.24622252583503723,0.6057173609733582,66.10025632288307,680.0
quddpm_baseline,1,0.2225627601146698,0.2225627601146698,0.8024789094924927,0.8279168605804443,0.7525314092636108,,0.235187828540802,0.6173697113990784,66.18701788131148,680.0
quddpm_baseline,2,0.1802094429731369,0.1802094429731369,0.9359189867973328,0.8888323903083801,0.4722370207309723,,0.2738518714904785,0.614674985408783,65.8948749024421,680.0
t_msquddpm,0,0.19339963793754578,0.19339963793754578,0.40434402227401733,0.7790069580078125,0.5144155025482178,,0.7479342818260193,0.8047654628753662,50.929278439842165,340.0
t_msquddpm,1,0.11454590409994125,0.11454590409994125,0.7786359190940857,0.8585889339447021,0.7016787528991699,,0.8899027109146118,0.8854212164878845,51.809788157232106,340.0
t_msquddpm,2,0.18804821372032166,0.18804821372032166,0.5476945638656616,0.791221022605896,0.719591498374939,,0.703810453414917,0.8041465878486633,52.005551654845476,340.0
